,X distance [m],Gravity Anomaly [mGal]
0,0.0,-0.8472059534910688
1,1000.0,-0.9047209688861786
2,2000.0,-0.9677151921774882
3,3000.0,-1.0369641663300984
4,4000.0,-1.1134361552053107
5,5000.0,-1.1983803425420565
6,6000.0,-1.2934780041640948
7,7000.0,-1.401117708760965
8,8000.0,-1.5249322511618695
9,9000.0,-1.6709354631418096
10,10000.0,-1.8501804225146041
11,11000.0,-2.0857986259247228
12,12000.0,-2.434874604200518
13,13000.0,-3.0726112575974946
14,14000.0,-4.808592956530942
15,15000.0,-7.069600422424149
16,16000.0,-7.527795978173171
17,17000.0,-6.913867159868928
18,18000.0,-4.664053580977905
19,19000.0,-4.122561963578713
20,20000.0,-4.124728903153688
21,21000.0,-4.323514565077536
22,22000.0,-4.6251066456099235
23,23000.0,-4.997840640478541
24,24000.0,-5.429717155695579
25,25000.0,-5.915836379240159
26,26000.0,-6.45374766839826
27,27000.0,-7.04127922251331
28,28000.0,-7.675248995357477
29,29000.0,-8.35054938909505
30,30000.0,-9.059478718504879
31,31000.0,-9.791351300124086
32,32000.0,-10.532477580299439
33,33000.0,-11.266589295579633
34,34000.0,-11.975700955959875
35,35000.0,-12.641279153812434
36,36000.0,-13.245493390486013
37,37000.0,-13.772301896016836
38,38000.0,-14.20819727431547
39,39000.0,-14.542561655251628
40,40000.0,-14.767698874164681
41,41000.0,-14.878679255041584
42,42000.0,-14.873142587962525
43,43000.0,-14.751172558533451
44,44000.0,-14.515301752724032
45,45000.0,-14.170644603277111
46,46000.0,-13.72509415375965
47,47000.0,-13.189465493573367
48,48000.0,-12.577438986896892
49,49000.0,-11.905170700571176
50,50000.0,-11.190510179768374
