,X distance [m],P wave arrival 1 [s],P wave arrival 2 [s],P wave arrival 3 [s],P wave arrival 4 [s]
0,49.99999999999999,0.22676387016463195,0.8538702509363247,1.850956157701603,2.789503027763658
1,1050.0,0.4499089793177973,0.9032222238774921,1.8665238684620817,2.797472782449404
2,2049.9999999999995,0.7924348163001014,1.0288701455660885,1.9096402421255334,2.819793950819985
3,3050.0,1.1524002756988807,1.205665508179436,1.9783083609804635,2.8560801978583186
4,4049.9999999999995,1.5174447131289526,1.413073774954455,2.0696959523424994,2.905729321396393
5,5050.0,1.884619090951901,1.6384551593880587,2.180597094827135,2.967966080183942
6,6049.999999999999,2.252882236045963,1.8746814313465165,2.3078208542651737,3.041891833128375
7,7050.0,2.621775391319801,2.1177409466465633,2.4484439624220613,3.1265345434089795
8,8049.999999999999,2.991065463351731,2.365303709594741,2.599932885637827,3.2208940652690217
9,9049.999999999998,3.3606216042953747,2.6159587556174984,2.7601721983598964,3.323979588810971
10,10049.999999999998,3.730364737088024,2.8688148725516385,2.927438691715679,3.4348380297008134
11,11050.0,4.100244273607302,3.1232868150395916,3.1003507148884637,3.5525736185115875
12,12050.0,4.470226352663772,3.378976719389243,3.2778108939369304,3.676359840545956
13,13050.0,4.840287457840674,3.635605757566964,3.4589517711774533,3.8054452635797134
14,14049.999999999998,5.210410749026721,3.8929732556449608,3.6430884881197017,3.939154815399661
15,15050.0,5.580583851005542,4.150931383444117,3.8296796076840565,4.076887890456646
16,16049.999999999998,5.950797466202445,4.409368986311449,4.018295666046129,4.218114397481486
17,17050.0,6.321044474139484,4.6682009614264075,4.208594418638199,4.362369587039439
18,18050.0,6.69131932962641,4.927361098115057,4.40030158834054,4.509248261294488
19,19049.999999999996,7.0616176500245444,5.186797141435079,4.593195993355835,4.658398782325094
20,20050.0,7.4319359257594755,5.446467318175166,4.787098091782923,4.809517158631138
21,21049.999999999996,7.802271313342601,5.706337846227655,4.9818611589695365,4.962341392752251
22,22050.0,8.172621484394597,5.966381118805998,5.1773644795232485,5.116646205163647
23,23049.999999999996,8.54298451413753,6.226574360303005,5.373508076179974,5.272238201474579
24,24049.999999999996,8.913358797528979,6.486898617299687,5.570208610542409,5.42895151487005
25,25050.0,9.283742985554724,6.747337991515508,5.767396178879153,5.586643929601905
26,26049.999999999996,9.654135936063838,7.007879049788983,5.965011793558574,5.745193472151755
27,27050.0,10.024536675629221,7.268510365332077,6.163005391880461,5.904495443150495
28,28050.0,10.394944369439663,7.529222157518802,6.36133425243878,6.064459854446341
29,29050.0,10.765358297538185,7.790006006377098,6.55996172809256,6.225009231058152
30,30049.999999999996,11.135777835567986,8.05085462441889,6.75885622617335,6.386076736264272
31,31049.999999999996,11.506202439625277,8.311761672779255,6.957990382933758,6.5476045789596355
32,32049.999999999996,11.876631633455055,8.572721611991597,7.157340391386867,6.709542664878143
33,33050.0,12.247064998440905,8.83372958001425,7.356885451037158,6.871847456603405
34,34050.0,12.617502165051661,9.09478129192371,7.556607314932535,7.034481011156004
35,35050.0,12.987942805763225,9.355872956845843,7.75648991494171,7.1974101678223406
36,36049.99999999999,13.358386629374522,9.617001208854447,7.956519050164445,7.36060586257679
37,37049.99999999999,13.728833376087628,9.878163049109986,8.156682126604778,7.524042548943498
38,38050.0,14.099282813233025,10.13935579721712,8.356967938676746,7.687697708176302
39,39050.0,14.469734732084042,10.400577050046905,8.55736648500124,7.851551434337921
40,40049.99999999999,14.840188944505591,10.661824646887226,8.757868812441302,8.015586082202276
41,41049.99999999999,15.21064528077973,10.923096639602193,8.95846688353555,8.17978596782126
42,42050.0,15.581103587147787,11.184391267153359,9.159153463345433,8.344137113346278
43,43050.0,15.951563724215724,11.445706933696073,9.359922022541298,8.508627029051695
44,44050.0,16.322025565017576,11.707042189655624,9.56076665406863,8.673244526654628
45,45049.99999999999,16.692488994063332,11.968395715339256,9.761682001283816,8.83797955908733
46,46049.99999999999,17.062953905614258,12.229766306738583,9.962663195714981,9.002823082576072
47,47050.0,17.433420202897693,12.491152863128377,10.163705803053404,9.167766937668091
48,48050.0,17.803887797321515,12.752554376209503,10.364805776093363,9.3328037462868
49,49049.99999999999,18.174356607287493,13.013969920632121,10.565959413639064,9.497926822491763
